SENS_AOA=0.00094325006561869
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
119, -2.128059334084777e-02, 5.137932327886414e-01, -4.891266424389100e-01, -1.670381128556611e-01, 1.293851825223399e-01, 9.181000292300000e-02, 3.182824290356089e-02
120, -2.412503042337695e-02, 4.998375010095056e-01, -4.776528376298237e-01, -1.517875030549298e-01, 1.259028070319472e-01, 1.011300012470000e-01, 3.296586255390802e-02
121, -2.493399033959730e-02, 4.843736466593029e-01, -4.644718925381272e-01, -1.378047105672697e-01, 1.220376401596172e-01, 1.108499988910000e-01, 3.406598248343647e-02
122, -2.473256737587554e-02, 4.677980370195022e-01, -4.500017120465890e-01, -1.249279653541705e-01, 1.178783565956792e-01, 1.209499984980000e-01, 3.512732475042005e-02
123, -2.444747264933384e-02, 4.508024830070892e-01, -4.349220791365144e-01, -1.131156390276739e-01, 1.135992017124887e-01, 1.314399987460000e-01, 3.615168337539732e-02
124, -2.413108141715706e-02, 4.342156042422828e-01, -4.200460688546047e-01, -1.023279654288052e-01, 1.094091820071037e-01, 1.422899961470000e-01, 3.713674637213790e-02
125, -2.329089930630340e-02, 4.186069799308318e-01, -4.059420029550367e-01, -9.248559422138013e-02, 1.054529668306417e-01, 1.534900069240000e-01, 3.808230423291806e-02
126, -2.218550507552438e-02, 4.039867864587975e-01, -3.926623357835061e-01, -8.345089542496356e-02, 1.017527569156262e-01, 1.650400012730000e-01, 3.898882117307029e-02
127, -2.115296997912992e-02, 3.900916132304544e-01, -3.799756555906038e-01, -7.505068952472524e-02, 9.824343265372426e-02, 1.769299954180000e-01, 3.985576651088245e-02
128, -2.002360320352119e-02, 3.767482118991177e-01, -3.677288046608698e-01, -6.719284111469981e-02, 9.486817917114182e-02, 1.891400069000000e-01, 4.068189237756792e-02
129, -1.830221411677450e-02, 3.640023837521564e-01, -3.559780390342567e-01, -5.983722072708939e-02, 9.164559302984519e-02, 2.016600072380000e-01, 4.146667013286241e-02
130, -1.609084587829757e-02, 3.520648895273031e-01, -3.449286997162810e-01, -5.293112286608285e-02, 8.862157243914259e-02, 2.144699990750000e-01, 4.220891883358778e-02
131, -1.380410572648950e-02, 3.410506953870970e-01, -3.346966847345724e-01, -4.643965062017296e-02, 8.582820813990819e-02, 2.275699973110000e-01, 4.290855406906859e-02
132, -1.187922533082165e-02, 3.309947809520975e-01, -3.253278083895733e-01, -4.029226178475736e-02, 8.328058699582078e-02, 2.409400045870000e-01, 4.356425604476301e-02
133, -1.041961863142295e-02, 3.218820247190739e-01, -3.168056809871542e-01, -3.443304833311384e-02, 8.096510972725049e-02, 2.545700073240000e-01, 4.417517386467632e-02
134, -9.264483571674411e-03, 3.135888025981455e-01, -3.090280551928891e-01, -2.881221904740893e-02, 7.886503250007552e-02, 2.684499919410000e-01, 4.474031533839345e-02
135, -8.077878436816512e-03, 3.060466777435011e-01, -3.019271812931126e-01, -2.335444090558144e-02, 7.694878479223863e-02, 2.825500071050000e-01, 4.525784575861959e-02
136, -6.580152153415579e-03, 2.992142131326548e-01, -2.954731135217402e-01, -1.804724779071651e-02, 7.521593345866881e-02, 2.968699932100000e-01, 4.572700472362212e-02
137, -5.188594430566420e-03, 2.932695999470960e-01, -2.898281743948268e-01, -1.286715459921250e-02, 7.369944682656361e-02, 3.113999962810000e-01, 4.614643891495240e-02
138, -5.137029490522482e-03, 2.883419964045856e-01, -2.851284452843390e-01, -7.816773821463891e-03, 7.244067417930547e-02, 3.261100053790000e-01, 4.651415663751178e-02
139, -6.843869462053521e-03, 2.843665687742637e-01, -2.813130204166380e-01, -2.826773852890205e-03, 7.142477658616148e-02, 3.409900069240000e-01, 4.682868005958522e-02
140, -6.441385939298277e-03, 2.809945256094520e-01, -2.780578901269059e-01, 2.203882805881970e-03, 7.056674601785864e-02, 3.560400009160000e-01, 4.708850487415342e-02
141, 6.255464317219267e-03, 2.779797433399969e-01, -2.751208929858208e-01, 7.347592493378701e-03, 6.980306629425598e-02, 3.712300062180000e-01, 4.729145045624505e-02
142, 4.028259301878415e-02, 2.755333872870240e-01, -2.727000323368775e-01, 1.256236733359663e-02, 6.916783902218578e-02, 3.865399956700000e-01, 4.743555186164330e-02
143, 8.324976405676665e-02, 2.740629684319422e-01, -2.711775164294219e-01, 1.769411606501727e-02, 6.877405769379340e-02, 4.019699990750000e-01, 4.751891234867155e-02
144, 9.326392115828125e-02, 2.737839148063230e-01, -2.707700263801304e-01, 2.270893855757056e-02, 6.868363409884648e-02, 4.174999892710000e-01, 4.753934006077652e-02
145, 5.545883502926842e-02, 2.740258677928654e-01, -2.708400622499182e-01, 2.786024581923772e-02, 6.871822292543441e-02, 4.331099987030000e-01, 4.749467890144633e-02
146, 5.344549985114171e-03, 2.735014036598473e-01, -2.700899065927997e-01, 3.327681374404200e-02, 6.855580044373903e-02, 4.487800002100000e-01, 4.738283852699190e-02
147, -2.632753853383249e-02, 2.708634003375046e-01, -2.671463506991906e-01, 3.889871755838763e-02, 6.786903644250671e-02, 4.645099937920000e-01, 4.720155558711950e-02
148, -3.446471936491947e-02, 2.653496040285782e-01, -2.612594110954094e-01, 4.465820549008553e-02, 6.647824066151022e-02, 4.802699983120000e-01, 4.694889484550344e-02
149, -2.769960508343702e-02, 2.572949856911920e-01, -2.528012825399970e-01, 5.046357386139673e-02, 6.444816631325488e-02, 4.960500001910000e-01, 4.662282535396701e-02
150, -1.651592899859427e-02, 2.474912243377427e-01, -2.425761304661960e-01, 5.625642193449338e-02, 6.200135392089193e-02, 5.118399858470000e-01, 4.622135955892272e-02
151, -7.170359176299214e-03, 2.366770559869314e-01, -2.312712202877672e-01, 6.207878309507081e-02, 5.927252862669334e-02, 5.276100039480000e-01, 4.574325119550719e-02
152, -1.509867391238777e-03, 2.250616760743906e-01, -2.190853097453512e-01, 6.789495711047516e-02, 5.633564643832228e-02, 5.433599948880000e-01, 4.518666199477599e-02
